date,location,hits
2012-03-14,District of Columbia,NA
2012-03-14,Hawaii,NA
2012-03-14,Iowa,NA
2012-03-14,Idaho,NA
2012-03-14,Kansas,NA
2012-03-14,Maine,NA
2012-03-14,Mississippi,NA
2012-03-14,Montana,NA
2012-03-14,North Dakota,NA
2012-03-14,Nebraska,NA
2012-03-14,South Dakota,NA
2012-03-14,West Virginia,NA
2012-03-14,Wyoming,NA
2012-03-15,Ohio,100
2012-03-15,Montana,77
2012-03-15,Wyoming,73
2012-03-15,Michigan,70
2012-03-15,Rhode Island,68
2012-03-15,Kentucky,68
2012-03-15,Nevada,59
2012-03-15,Vermont,55
2012-03-15,Maine,54
2012-03-15,Connecticut,52
2012-03-15,Pennsylvania,51
2012-03-15,New Hampshire,49
2012-03-15,Massachusetts,47
2012-03-15,District of Columbia,45
2012-03-15,New Jersey,41
2012-03-15,Illinois,41
2012-03-15,Kansas,41
2012-03-15,Oregon,41
2012-03-15,Washington,38
2012-03-15,Delaware,36
2012-03-15,California,34
2012-03-15,Maryland,34
2012-03-15,Indiana,34
2012-03-15,Mississippi,33
2012-03-15,Louisiana,33
2012-03-15,New York,33
2012-03-15,Colorado,28
2012-03-15,New Mexico,27
2012-03-15,Iowa,25
2012-03-15,Wisconsin,21
2012-03-15,Idaho,21
2012-03-15,Nebraska,18
2012-03-15,Tennessee,17
2012-03-15,Alabama,16
2012-03-15,Utah,16
2012-03-15,Virginia,15
2012-03-15,Oklahoma,15
2012-03-15,Arkansas,14
2012-03-15,Florida,14
2012-03-15,Georgia,13
2012-03-15,Arizona,12
2012-03-15,Minnesota,12
2012-03-15,Texas,10
2012-03-15,Missouri,10
2012-03-15,North Carolina,8
2012-03-15,South Carolina,7
2012-03-15,Alaska,NA
2012-03-15,Hawaii,NA
2012-03-15,North Dakota,NA
2012-03-15,South Dakota,NA
2012-03-15,West Virginia,NA
2012-03-16,District of Columbia,100
2012-03-16,New Hampshire,78
2012-03-16,Vermont,74
2012-03-16,Ohio,62
2012-03-16,Alaska,61
2012-03-16,Rhode Island,60
2012-03-16,Michigan,55
2012-03-16,Montana,52
2012-03-16,Maine,47
2012-03-16,Kentucky,46
2012-03-16,Pennsylvania,46
2012-03-16,Connecticut,44
2012-03-16,Indiana,43
2012-03-16,Massachusetts,43
2012-03-16,Colorado,42
2012-03-16,Delaware,41
2012-03-16,Idaho,40
2012-03-16,Nevada,37
2012-03-16,New York,37
2012-03-16,Illinois,36
2012-03-16,West Virginia,34
2012-03-16,Oregon,34
2012-03-16,New Mexico,34
2012-03-16,Washington,34
2012-03-16,New Jersey,30
2012-03-16,North Carolina,30
2012-03-16,California,29
2012-03-16,Wisconsin,28
2012-03-16,Maryland,26
2012-03-16,Louisiana,25
2012-03-16,Iowa,24
2012-03-16,South Dakota,23
2012-03-16,Utah,21
2012-03-16,Tennessee,20
2012-03-16,Nebraska,20
2012-03-16,South Carolina,19
2012-03-16,Minnesota,19
2012-03-16,Georgia,16
2012-03-16,Oklahoma,15
2012-03-16,Florida,14
2012-03-16,Texas,13
2012-03-16,Mississippi,13
2012-03-16,Kansas,13
2012-03-16,Virginia,13
2012-03-16,Missouri,11
2012-03-16,Alabama,9
2012-03-16,Arkansas,8
2012-03-16,Arizona,6
2012-03-16,Hawaii,NA
2012-03-16,North Dakota,NA
2012-03-16,Wyoming,NA
2012-03-17,New Hampshire,100
2012-03-17,Vermont,67
2012-03-17,Delaware,66
2012-03-17,Nebraska,64
2012-03-17,Iowa,56
2012-03-17,District of Columbia,53
2012-03-17,Oregon,52
2012-03-17,Maine,47
2012-03-17,Pennsylvania,45
2012-03-17,Colorado,45
2012-03-17,Michigan,42
2012-03-17,Connecticut,39
2012-03-17,Rhode Island,35
2012-03-17,Massachusetts,32
2012-03-17,California,30
2012-03-17,South Dakota,29
2012-03-17,New York,29
2012-03-17,Ohio,27
2012-03-17,Illinois,26
2012-03-17,North Carolina,26
2012-03-17,Washington,26
2012-03-17,Virginia,25
2012-03-17,Arkansas,25
2012-03-17,Minnesota,24
2012-03-17,Indiana,24
2012-03-17,Montana,24
2012-03-17,New Mexico,21
2012-03-17,Georgia,21
2012-03-17,Wisconsin,21
2012-03-17,Kentucky,20
2012-03-17,New Jersey,20
2012-03-17,Nevada,20
2012-03-17,Missouri,18
2012-03-17,South Carolina,17
2012-03-17,Kansas,17
